ID,Nombre,Descripción,Región (CCAA),Año,Vertical,Subvertical,Tecnología,ODS principal,Tipo de impacto,Indicador de impacto,Escala de impacto,Población beneficiada / target,Diversidad del equipo,Nivel de madurez,Inversión total (€),Contacto,Web,Fuente de información
53,Innogando,"Plataforma IoT gallega para ganadería inteligente: sensores en praderas y collares para vacas, que monitorizan en tiempo real ubicación, actividad y estado de celo del ganado bovino. Ayuda a optimizar pastoreo, detección de partos y mejorar productividad ganadera extensiva.",Galicia (Lugo),2019,Agrotech,Ganadería (IoT),"IoT, GPS, Big Data","ODS 9 – Industria, innovación e infraestructura",Económico,– (Menos pérdidas de reses y mejor control sanitario),Nacional,"Ganaderos de vacuno extensivo (Galicia, Asturias)",CTO mujer,Growth,~0.15 M€,Marcos Gallardo (CEO),innogando.com,Otros
54,Digitanimal,"Solución integral de monitorización de ganado (bovino, ovino) mediante collares GPS e IoT. Ofrece a ganaderos información sobre localización, actividad, temperaturas y alertas (celo, parto, anomalías) de cada animal en el móvil, mejorando la gestión y bienestar animal.",Comunidad de Madrid,2015,Agrotech,Ganadería (IoT),"IoT, GPS, Cloud","ODS 9 – Industria, innovación e infraestructura",Económico/Social,20% aumento eficiencia manejo rebaños (clientes),Internacional,"Ganaderos de extensivo (Europa, Latinoamérica)",N/D,Scaleup,~1.5 M€,Julián Gómez (CEO),digitanimal.com,ElReferente
55,Fuvex,"Startup navarra de drones agrícolas de ala fija para inspección de grandes campos. Sus UAVs pueden cubrir hasta 1000 ha en un vuelo con sensores multiespectrales, generando mapas de vigor, estrés hídrico y recomendaciones agronómicas. También desarrolla drones para logística rural.",Navarra,2017,Agrotech,Drones agrícolas,"UAV, Teledetección","ODS 9 – Industria, innovación e infraestructura",Ambiental,5x cobertura vs drones multirotor (1000ha/vuelo),Internacional,"Cooperativas, empresas agrícolas extensivas",20% mujeres,Growth,~1.0 M€,Carlos Matilla (CEO),fuvex.es,Expansion
56,VitantechBio,"Spin-off biotecnológica enfocada en bioseguridad y secado de inoculantes. Caracteriza riesgos biológicos de cepas bacterianas y fúngicas para producir biofertilizantes estables (polvos) y bactericidas/fungicidas ecológicos. Surgida en la Univ. de Valladolid, apunta a facilitar la formulación y conservación de bioproductos agrícolas.",Castilla y León (Valladolid),2020,Agrotech/Biotech,Bioseguridad agrícola,"Secado de cepas, Bioprocesos",ODS 15 – Vida de ecosistemas terrestres,Ambiental,– (Extensión vida útil inoculantes de meses a años),Nacional,Empresas de biofertilizantes y biocontrol,33% investigadoras,MVP,N/D,Dr. Marta Gutiérrez (CTO),vitantechbio.com (ND),ElReferente
57,Graniot,"Startup granadina que ofrece una app web para monitorizar cultivos vía satélite. Los técnicos agrícolas pueden ver mapas semanales de vigor, clorofila y estrés hídrico de sus parcelas, facilitando la toma de decisiones (riego, fertilización) con datos actualizados y alertas meteorológicas.",Andalucía (Granada),2019,Agrotech,Agricultura de precisión,Teledetección satelital,ODS 2 – Hambre cero,Ambiental/Económico,– (Optimización insumos y mejora rendimientos),Nacional,"Cooperativas, técnicos agrícolas (España y LatAm)",N/D,Growth,N/D,Pablo Romero (CEO),graniot.tech,ElReferente
58,Kowat,Startup de Castelldefels que desarrolla drones biomiméticos anti-aves: vehículos autónomos no tripulados que imitan el vuelo y comportamiento de depredadores naturales para ahuyentar aves de cultivos. Su objetivo es proteger siembras y frutales reduciendo daños sin recurrir a métodos letales ni contaminantes.,Cataluña (Barcelona),2020,Agrotech/Robótica,Control de fauna,Drones biomiméticos,ODS 15 – Vida de ecosistemas terrestres,Ambiental,– (Reducción 90% daños por aves en viñedos piloto),Nacional,"Viticultores, arroceros, aeropuertos (control fauna)",N/D,MVP,N/D,Hugo Bosc (CEO),kowat.io (ND),ElReferente
59,Agrodevices,"Startup catalana (spin-off de FEMAC) que diseña y produce sensores agrícolas robustos (ej. estaciones agroclimáticas, sensores de suelo) adaptados a pequeñas explotaciones. Ofrece soluciones asequibles de monitoreo climático, humedad y fertirriego, integrables con plataformas de gestión existentes, para democratizar la agricultura de precisión.",Cataluña (Lleida),2016,Agrotech,Sensórica agrícola,IoT (hardware),"ODS 9 – Industria, innovación e infraestructura",Ambiental/Económico,– (Aumento adopción sensórica en pequeños agricultores),Nacional,Cooperativas agrícolas pequeñas y medianas,20% mujeres,Growth,N/D,Francesc Montané (CEO),agrodevices.es (ND),Otros
60,BrioAgro,"Sistema de riego agrícola inteligente con sensores de suelo, clima y cultivo. Permite al agricultor controlar remotamente su explotación vía app; recopila datos y aplica algoritmos para regar solo lo necesario. Sus clientes logran reducir el consumo de agua entre 20% y 50% según cultivo y suelo.",Andalucía (Sevilla),2016,Agrotech,Agricultura de precisión,"IoT, Cloud, IA",ODS 6 – Agua limpia y saneamiento,Ambiental,20-50% ahorro de agua (usuarios),Nacional,"Agricultores de regadío (frutales, hortícolas)",N/D,Growth,N/D,Ángel Pacheco (CEO),brioagro.com,Intelectium
61,Heura Foods,Proteína vegetal con formulaciones limpias para alternativas cárnicas.,Cataluña,2020,FoodTech,Proteína alternativa (plant-based),I+D formulación / Food science,N/D,Ambiental / Económico,N/D,Nacional,Retail / foodservice / consumidor,N/D,N/D,N/D,N/D,heurafoods.com,Hubspot
62,Cocuus,Tecnología de bioimpresión y 3D food printing para proteínas alternativas.,Comunidad Foral de Navarra,2019,FoodTech / DeepTech,Impresión 3D alimentaria,Bioimpresión / 3D printing,N/D,Ambiental / Económico,N/D,Nacional,Industria alimentaria,N/D,N/D,N/D,N/D,cocuus.com,Hubspot
63,Cubiq Foods,Grasas estructuradas y aceites saludables para formulaciones plant-based.,Cataluña,2020,FoodTech / BioTech,Ingredientes / grasas,I+D alimentaria / microencapsulación,N/D,Ambiental / Social,N/D,Nacional,Industria alimentaria,N/D,N/D,N/D,N/D,cubiqfoods.com,Hubspot
64,BioTech Foods,Carne cultivada mediante cultivo celular para alimentación humana.,País Vasco,2016,FoodTech / BioTech,Cultivo celular (cultivated meat),Cultivo celular / bioprocesos,N/D,Ambiental,N/D,Nacional,Industria alimentaria / consumidor,N/D,N/D,N/D,N/D,biotech-foods.com,Hubspot
65,Crowdfarming,Plataforma que conecta a productores con consumidores para venta directa.,Comunidad de Madrid,2016,FoodTech / AgriFood,Marketplace directo productor-consumidor,Marketplace / Logística,N/D,Social / Económico,N/D,Nacional,Consumidores / productores,N/D,N/D,N/D,N/D,crowdfarming.com,Hubspot
66,ClimateTrade,Marketplace de créditos de carbono para ayudar a las empresas a descarbonizarse.,Comunitat Valenciana,2020,ClimateTech / CarbonTech,Marketplace CO₂,SaaS / Blockchain,N/D,Ambiental,N/D,Nacional,Empresas,N/D,N/D,N/D,N/D,climatetrade.com,Hubspot
67,Oscillum,Etiquetas inteligentes que detectan el estado de frescura de alimentos.,Comunitat Valenciana,2019,FoodTech / IoT,Smart labels / frescura,Química analítica / sensores,N/D,Ambiental / Social,N/D,Nacional,Retail / consumidores / fabricantes,N/D,N/D,N/D,N/D,oscillum.com,Hubspot
68,Trazable,Trazabilidad alimentaria y control de calidad de extremo a extremo.,Comunitat Valenciana,2020,FoodTech / SaaS,Traceability / QA,Blockchain / Data / Cloud,N/D,Social / Económico,N/D,Nacional,Industria alimentaria,N/D,N/D,N/D,N/D,trazable.io,Hubspot
69,Nucaps,Microencapsulación de bioactivos y probióticos para alimentación y salud.,Comunidad Foral de Navarra,2016,BioTech aplicada / FoodTech,Microencapsulación,Encapsulación / biopolímeros,N/D,Social / Económico,N/D,Nacional,Nutracéuticos / alimentación funcional,N/D,N/D,N/D,N/D,nucapsnanotech.com,Hubspot
70,Feltwood,Transformación de residuos vegetales en materiales ecológicos de alto rendimiento.,Aragón,2016,Circular Economy / CleanTech,Biomateriales,Procesos industriales / materiales,N/D,Ambiental,N/D,Nacional,Industria de envase / automoción / consumo,N/D,N/D,N/D,N/D,feltwood.com,Hubspot
71,Biome Makers,Análisis de microbioma del suelo para optimizar cultivos y salud del suelo.,Castilla y León,2020,AgriTech / BioTech,Datos del suelo,Biología molecular / IA / Data,N/D,Ambiental / Económico,N/D,Nacional,Viticultura / agricultura de precisión,N/D,N/D,N/D,N/D,biomemakers.com,Hubspot
72,Digitanimal,Collares IoT con GPS y sensores para ganadería extensiva.,Comunidad de Madrid,2019,AgriTech / IoT,Ganadería inteligente,IoT / GPS / Data,N/D,Ambiental / Económico,N/D,Nacional,Ganaderos,N/D,N/D,N/D,N/D,digitanimal.com,Hubspot
73,Fuvex,Drones de ala fija para agricultura de precisión y energía.,Comunidad Foral de Navarra,2020,AgriTech / Energy,Teledetección / inspección,UAV / IoT / Data,N/D,Ambiental / Económico,N/D,Nacional,Agricultores / utilities,N/D,N/D,N/D,N/D,fuvex.es,Hubspot
74,Zyrcular Foods,Desarrollo y producción de proteínas alternativas y soluciones plant-based.,Cataluña,2016,FoodTech,Proteína alternativa,I+D alimentaria / producción,N/D,Ambiental / Social,N/D,Nacional,Retail / foodservice / industria,N/D,N/D,N/D,N/D,zyrcularfoods.com,Hubspot
75,SORBOS,Pajitas comestibles y biodegradables para Horeca y consumo.,Cataluña,2016,Circular Economy / FoodTech,Sostenibilidad Horeca,Formulación / procesos alimentarios,N/D,Ambiental,N/D,Nacional,Horeca / consumidores,N/D,N/D,N/D,N/D,wearesorbos.com,Hubspot
